('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1055263 function calls (1027680 primitive calls) in 2.073 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(<genexpr>)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      187    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      183    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
      183    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      181    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      181    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    180/1    0.005    0.000    2.074    2.074 {built-in method builtins.exec}
      175    0.000    0.000    0.001    0.000 typing.py:175(_type_convert)
      174    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
      174    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  174/171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      173    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      173    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
      173    0.016    0.000    0.016    0.000 {built-in method _io.open_code}
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
      173    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:947(get_data)
      173    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:826(get_code)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:750(create_module)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:917(__init__)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(get_filename)
    173/3    0.000    0.000    0.243    0.081 <frozen importlib._bootstrap_external>:753(exec_module)
      173    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
      167    0.000    0.000    0.000    0.000 enum.py:186(__get__)
      167    0.000    0.000    0.000    0.000 enum.py:1323(value)
      166    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      162    0.000    0.000    0.002    0.000 parser.py:387(parse_comment)
      162    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
      160    0.000    0.000    0.002    0.000 typing.py:184(_type_check)
      160    0.000    0.000    0.001    0.000 enum.py:1582(__or__)
      159    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
      158    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
  153/151    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      134    0.001    0.000    0.003    0.000 _compiler.py:481(_get_charset_prefix)
      131    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      129    0.000    0.000    0.000    0.000 enum.py:902(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      123    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
      119    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      119    0.000    0.000    0.000    0.000 annotationlib.py:250(__forward_arg__)
      119    0.000    0.000    0.000    0.000 inspect.py:2744(kind)
   117/57    0.000    0.000    0.137    0.002 {built-in method builtins.__import__}
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 ipaddress.py:569(__int__)
      111    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      111    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      111    0.000    0.000    0.000    0.000 typing.py:1345(<genexpr>)
      111    0.000    0.000    0.000    0.000 __init__.py:435(<genexpr>)
      110    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      108    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      107    0.000    0.000    0.000    0.000 enum.py:745(__delattr__)
      106    0.000    0.000    0.001    0.000 enum.py:341(__setitem__)
       95    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       95    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       95    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       94    0.004    0.000    0.024    0.000 filter.py:130(filter)
       92    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       91    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
    88/52    0.000    0.000    0.114    0.002 <frozen importlib._bootstrap>:1401(_handle_fromlist)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1208(_parse_octet)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       85    0.000    0.000    0.001    0.000 typing.py:1225(__init__)
       84    0.000    0.000    0.000    0.000 inspect.py:2732(name)
       83    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       77    0.000    0.000    0.000    0.000 {built-in method builtins.id}
    76/75    0.000    0.000    0.000    0.000 typing.py:1361(__hash__)
    76/48    0.000    0.000    0.000    0.000 annotationlib.py:1122(_get_dunder_annotations)
    75/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       75    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
    75/37    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       72    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
    72/12    0.000    0.000    0.001    0.000 annotationlib.py:898(get_annotations)
       72    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       69    0.000    0.000    0.000    0.000 <frozen _collections_abc>:881(__iter__)
       68    0.000    0.000    0.169    0.002 client.py:640(_safe_read)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       68    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       66    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       63    0.000    0.000    0.001    0.000 typing.py:952(_make_forward_ref)
       63    0.000    0.000    0.000    0.000 annotationlib.py:1095(_rewrite_star_unpack)
       63    0.000    0.000    0.000    0.000 annotationlib.py:68(__init__)
       63    0.000    0.000    0.001    0.000 annotationlib.py:261(__forward_code__)
       60    0.000    0.000    0.000    0.000 enum.py:1040(_add_member_)
       59    0.000    0.000    0.001    0.000 parser.py:181(set_cdata_mode)
       58    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       58    0.000    0.000    0.000    0.000 element.py:2508(__eq__)
       58    0.000    0.000    0.000    0.000 _compiler.py:421(_generate_overlap_table)
       58    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       56    0.000    0.000    0.000    0.000 annotationlib.py:290(__hash__)
       56    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
    56/16    0.001    0.000    0.010    0.001 css_parser.py:925(parse_selectors)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       56    0.000    0.000    0.000    0.000 ipaddress.py:528(_split_addr_prefix)
       56    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       55    0.000    0.000    1.031    0.019 {method 'readline' of '_io.BufferedReader' objects}
       55    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       53    0.000    0.000    0.001    0.000 enum.py:238(__set_name__)
       53    0.000    0.000    0.000    0.000 enum.py:68(_is_internal_class)
       53    0.000    0.000    0.000    0.000 enum.py:235(__init__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1916(__init__)
       52    0.000    0.000    0.000    0.000 inspect.py:3026(<genexpr>)
       51    0.000    0.000    0.000    0.000 typing.py:3827(__getattr__)
       51    0.000    0.000    0.000    0.000 enum.py:1425(_iter_member_by_value_)
       51    0.000    0.000    0.000    0.000 enum.py:114(_iter_bits_lsb)
       50    0.000    0.000    0.000    0.000 functools.py:553(lru_cache)
       49    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       48    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
