('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1070353 function calls (1043105 primitive calls) in 2.346 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4131    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     1923    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       13    0.001    0.000    0.002    0.000 __init__.py:361(namedtuple)
     1275    0.001    0.000    0.007    0.000 filter.py:629(_match_attribute_value_helper)
     1365    0.001    0.000    0.001    0.000 typing.py:1212(_is_dunder)
      137    0.001    0.000    0.003    0.000 typing.py:1341(__init__)
    56/16    0.001    0.000    0.011    0.001 css_parser.py:925(parse_selectors)
      103    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      197    0.001    0.000    0.001    0.000 enum.py:341(__setitem__)
       31    0.001    0.000    0.011    0.000 dataclasses.py:478(add_fns_to_class)
      219    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
  249/246    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
      482    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      802    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      657    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     3847    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      219    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
      767    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      356    0.001    0.000    1.491    0.004 ssl.py:1129(read)
      356    0.001    0.000    1.491    0.004 ssl.py:1278(recv)
      212    0.000    0.000    0.001    0.000 enum.py:1593(__and__)
     1634    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
     3095    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1069    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      356    0.000    0.000    0.001    0.000 _connection.py:364(receive_data)
     1188    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      310    0.000    0.000    0.002    0.000 _state.py:275(process_event)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
   689/12    0.000    0.000    0.297    0.025 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
      102    0.000    0.000    0.002    0.000 dataclasses.py:825(_get_field)
     3112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
      302    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1086    0.000    0.000    0.001    0.000 enum.py:1575(_get_value)
     2044    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      242    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
      350    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      356    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      667    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
       63    0.000    0.000    0.001    0.000 typing.py:1174(_generic_init_subclass)
      242    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      219    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
        1    0.000    0.000    0.005    0.005 typing.py:1(<module>)
     3871    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      312    0.000    0.000    0.001    0.000 _connection.py:342(_respond_to_state_changes)
     3124    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      182    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      482    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      984    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
       30    0.000    0.000    0.003    0.000 enum.py:479(__new__)
    31/11    0.000    0.000    0.003    0.000 inspect.py:2412(_signature_from_callable)
       41    0.000    0.000    0.002    0.000 typing.py:1113(_generic_class_getitem)
     1851    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      278    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:448(cb)
       94    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      746    0.000    0.000    0.001    0.000 _compiler.py:412(_simple)
      609    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      213    0.000    0.000    0.034    0.000 _compiler.py:590(_code)
      805    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      281    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:419(__enter__)
     1851    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.006    0.003 _models.py:641(text)
      435    0.000    0.000    0.001    0.000 enum.py:676(__call__)
  238/192    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
     1091    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1229(__exit__)
      712    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      984    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
     1091    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
      372    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      201    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
      696    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
      147    0.000    0.000    0.001    0.000 dataclasses.py:766(_is_type)
      876    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
     4229    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      296    0.000    0.000    0.012    0.000 _decoders.py:95(decode)
      356    0.000    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
      278    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      516    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
      101    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      269    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
      674    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       11    0.000    0.000    0.002    0.000 inspect.py:2306(_signature_from_function)
  220/214    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
      602    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      162    0.000    0.000    0.002    0.000 parser.py:387(parse_comment)
      213    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      124    0.000    0.000    0.000    0.000 dataclasses.py:446(add_fn)
    87/31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      420    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
   142/72    0.000    0.000    0.134    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      312    0.000    0.000    0.000    0.000 _state.py:299(_fire_event_triggered_transitions)
      134    0.000    0.000    0.001    0.000 enum.py:1040(_add_member_)
     1331    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       35    0.000    0.000    0.001    0.000 _receivebuffer.py:104(maybe_extract_lines)
      679    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       96    0.000    0.000    0.000    0.000 typing.py:3827(__getattr__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
  884/851    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      558    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
      150    0.000    0.000    0.001    0.000 enum.py:1582(__or__)
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      177    0.000    0.000    0.001    0.000 typing.py:1225(__init__)
     1531    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
   132/80    0.000    0.000    0.001    0.000 annotationlib.py:1122(_get_dunder_annotations)
      214    0.000    0.000    0.000    0.000 typing.py:1276(__getattr__)
       19    0.000    0.000    0.000    0.000 parse.py:499(_urlsplit)
      964    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      219    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       33    0.000    0.000    0.002    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      461    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:635(cached)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      103    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
       25    0.000    0.000    0.001    0.000 dataclasses.py:670(_init_fn)
   128/44    0.000    0.000    0.001    0.000 annotationlib.py:898(get_annotations)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      452    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
      302    0.000    0.000    0.185    0.001 http11.py:330(__iter__)
      797    0.000    0.000    0.000    0.000 element.py:2355(get)
      435    0.000    0.000    0.000    0.000 enum.py:1145(__new__)
      562    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      486    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      820    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      191    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      302    0.000    0.000    0.185    0.001 default.py:125(__iter__)
      281    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:423(__exit__)
      213    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      304    0.000    0.000    0.000    0.000 _connection.py:260(_server_switch_event)
      270    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      960    0.000    0.000    0.000    0.000 typing.py:1355(__eq__)
      686    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        5    0.000    0.000    0.000    0.000 _headers.py:152(normalize_and_validate)
      270    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1131(find_spec)
      219    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
     1715    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      302    0.000    0.000    0.185    0.001 connection_pool.py:401(__iter__)
      276    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
      302    0.000    0.000    0.185    0.001 _client.py:152(__iter__)
     1650    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       19    0.000    0.000    0.001    0.000 typing.py:2128(__init_subclass__)
      162    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
       43    0.000    0.000    0.000    0.000 _models.py:284(__getitem__)
      710    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       62    0.000    0.000    0.000    0.000 inspect.py:2679(__init__)
       31    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
      276    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      333    0.000    0.000    0.096    0.000 __init__.py:287(compile)
      220    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        3    0.000    0.000    0.001    0.000 typing.py:2965(__new__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
    82/65    0.000    0.000    0.085    0.001 <frozen importlib._bootstrap>:1401(_handle_fromlist)
       11    0.000    0.000    0.000    0.000 _models.py:144(__init__)
      516    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
      482    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       21    0.000    0.000    0.000    0.000 inspect.py:2971(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:1842(_get_protocol_attrs)
       31    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
       87    0.000    0.000    0.000    0.000 message.py:433(__setitem__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
       57    0.000    0.000    0.002    0.000 typing.py:1552(__getitem__)
      316    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      190    0.000    0.000    0.000    0.000 enum.py:745(__delattr__)
        1    0.000    0.000    2.117    2.117 financial_enhanced.py:27(get_financial_data)
        2    0.000    0.000    0.008    0.004 _sockets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      147    0.000    0.000    0.000    0.000 typing.py:2483(get_origin)
      343    0.000    0.000    0.001    0.000 typing.py:175(_type_convert)
      485    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       40    0.000    0.000    0.001    0.000 typing.py:1541(__init__)
        3    0.000    0.000    0.004    0.001 _streams.py:1(<module>)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      102    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
      114    0.000    0.000    0.001    0.000 _util.py:84(validate)
   106/40    0.000    0.000    0.000    0.000 cookiejar.py:1228(deepvalues)
      8/4    0.000    0.000    0.001    0.000 annotationlib.py:688(call_annotate_function)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      426    0.000    0.000    0.000    0.000 _compiler.py:587(isstring)
       27    0.000    0.000    0.004    0.000 element.py:530(get_text)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
        1    0.000    0.000    0.010    0.010 _colorize.py:1(<module>)
       13    0.000    0.000    0.001    0.000 dataclasses.py:541(__annotate__)
       85    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      714    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      220    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        3    0.000    0.000    0.000    0.000 _urlparse.py:213(urlparse)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
       20    0.000    0.000    0.002    0.000 typing.py:1977(__new__)
      408    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      410    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        4    0.000    0.000    0.000    0.000 _models.py:231(multi_items)
      448    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      121    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
